time,X_value,Y_value,Z_value
10.933,6.65337,1.03163,7.11391
10.9504,6.55881,1.02205,7.07858
10.9702,6.51451,1.13159,7.12167
10.991,6.3942,1.13817,7.17496
11.0106,6.33194,1.13817,7.14862
11.0342,6.5145,1.23573,7.08757
11.0524,6.6779,1.35304,7.04387
11.0722,6.65277,1.25429,7.17973
11.0914,6.41994,0.96519,7.40659
11.1121,6.34032,0.82153,7.54845
11.132,6.51869,0.96458,7.47302
11.1534,6.71202,1.15852,7.22943
11.1727,6.78325,1.17648,7.00676
11.1935,6.69707,1.09387,6.99359
11.2164,6.61327,1.01128,7.10014
11.2335,6.52348,0.94005,7.17435
11.2535,6.58752,0.95441,7.08456
11.2741,6.64259,1.06694,7.04448
11.2942,6.64978,1.05975,7.0714
11.3177,6.61925,1.05856,7.08757
11.3343,6.75333,1.09387,7.21146
11.3551,6.95026,1.19801,7.30484
11.3754,7.02986,1.16989,7.3629
11.3968,7.04063,0.99332,7.39761
11.4154,6.85507,0.74492,7.45149
11.4365,6.62105,0.60725,7.71185
11.4559,6.4744,0.51686,7.68791
11.4775,6.55521,0.64076,7.26534
11.497,6.79941,0.89635,7.03011
11.5168,6.88142,1.01846,7.14084
11.5368,6.71501,1.02563,7.27791
11.5585,6.65457,1.0849,7.22823
11.578,6.84012,1.19922,7.18274
11.5992,6.83473,1.1226,7.35153
11.6187,6.57974,0.86642,7.59993
11.6375,6.2236,0.6264,7.69688
11.6577,6.00693,0.51688,7.70168
11.6796,6.09671,0.51688,7.62148
11.6988,6.28406,0.64377,7.48322
11.7197,6.46721,0.70662,7.33298
11.7396,6.44865,0.64676,7.28389
11.7604,6.28107,0.41632,7.22643
11.7801,6.07336,0.35226,7.17854
11.8004,5.99915,0.34689,7.18153
11.8207,5.96983,0.39896,7.17674
11.8413,6.04823,0.4666,7.03848
11.8621,6.07397,0.63599,6.82539
11.8813,6.10091,0.59468,6.81223
11.9034,6.06261,0.5468,7.19052
11.9216,6.0632,0.38519,7.58078
11.9422,6.07397,0.42529,7.72203
11.962,6.2655,0.51987,7.61847
11.9822,6.4361,0.68745,7.41797
12.0037,6.52168,0.73415,7.44789
12.0231,6.33434,0.64735,7.54306
12.0444,6.19548,0.57494,7.62267
12.0631,6.34392,0.63957,7.63225
12.0836,6.44926,0.68985,7.51553
12.1035,6.44089,0.67249,7.28209
12.1244,6.38103,0.68985,7.15221
12.1447,6.32356,0.70302,7.23122
12.1663,6.33733,0.62581,7.43352
12.1859,6.54742,0.6707,7.50894
12.2052,6.73897,0.76048,7.45627
12.2252,6.79103,0.76167,7.38564
12.2457,6.65935,0.68985,7.34435
12.2654,6.56837,0.62401,7.44789
12.2876,6.554,0.6312,7.54187
12.3059,6.53784,0.68805,7.48621
12.3262,6.48039,0.7533,7.31142
12.3466,6.32297,0.73953,7.18513
12.3673,6.20984,0.63419,7.18153
12.3868,6.2278,0.65872,7.30904
12.4077,6.35291,0.6749,7.48082
12.4291,6.37206,0.72098,7.58197
12.4498,6.3942,0.75629,7.47304
12.4712,6.43849,0.91072,7.28928
12.4885,6.57436,0.99452,7.30304
12.5084,6.56299,1.05138,7.37367
12.5292,6.42053,1.05797,7.403
12.5488,6.33194,1.06573,7.39761
12.5715,6.36247,1.15312,7.34254
12.5898,6.40198,1.18365,7.18213
12.6098,6.51988,1.19203,7.04926
12.6301,6.62344,1.31953,7.06721
12.6504,6.77309,1.40572,7.28868
12.6706,6.78564,1.44821,7.63943
12.6921,6.59052,1.23334,7.78188
12.7112,6.53485,1.18126,7.73878
12.7309,6.78146,1.21538,7.70706
12.7541,6.92212,1.17587,7.79146
12.7722,6.73537,1.05197,7.9411
12.7922,6.5181,0.97177,8.08655
12.8125,6.33075,0.94064,7.96205
12.8328,6.16017,1.04718,7.6125
12.8552,6.11766,1.15912,7.18333
12.8744,6.28467,1.25548,6.86311
12.8945,6.38162,1.25369,6.87927
12.9141,6.38821,1.02086,7.06541
12.9347,6.2278,0.76167,7.15161
12.9542,6.14281,0.65514,7.20428
12.9749,6.24336,0.7509,7.10193
12.9969,6.33913,0.85565,7.14383
13.0171,6.28346,0.77486,7.24678
13.0412,6.21283,0.69165,7.37666
13.056,6.35649,0.71199,7.54607
13.076,6.58992,0.79999,7.61249
13.0973,6.81796,0.94843,7.58197
13.1151,6.8856,0.96698,7.45268
13.1357,6.88202,1.00888,7.43233
13.1577,6.85269,1.01607,7.44908
13.1812,6.73836,1.01607,7.48979
13.1974,6.62823,1.03043,7.37846
13.2188,6.38342,0.93825,7.30244
13.2381,6.16794,0.81795,7.31262
13.2583,6.18231,0.73355,7.45268
13.2786,6.28346,0.70961,7.61249
13.2988,6.33673,0.7126,7.56342
13.3236,6.29903,0.68268,7.42455
13.3392,6.25235,0.61743,7.33177
13.3607,6.30022,0.67728,7.11868
13.3804,6.3116,0.64137,7.14323
13.3998,6.29424,0.51448,7.35092
13.421,6.2637,0.49294,7.49757
13.441,6.23439,0.50011,7.43292
13.4651,6.13623,0.53004,7.32159
13.4811,6.18829,0.61684,7.21565
13.5014,6.27628,0.80836,7.09415
13.5211,6.31279,0.93286,7.01395
13.542,6.32297,0.97955,7.04088
13.5626,6.28166,1.01128,7.05286
13.584,6.30681,1.11722,6.97923
13.608,6.30562,1.18066,6.97504
13.6239,6.22061,1.16331,7.13365
13.6428,6.11526,1.09387,7.21387
13.6635,6.12784,1.12679,7.25276
13.6834,6.30083,1.13458,7.29886
13.7056,6.37085,1.11003,7.35512
13.7229,6.28166,0.98734,7.49817
13.7455,6.19069,0.84369,7.57777
13.7638,6.25893,0.84068,7.53708
13.7845,6.38402,0.90833,7.51793
13.8043,6.38043,0.93886,7.3611
13.8245,6.3116,0.97536,7.18633
13.8457,6.44447,1.0394,7.10252
13.8676,6.58633,1.0825,7.07021
13.8924,6.58932,1.04419,7.1133
13.9063,6.57794,0.93646,7.21326
13.926,6.66893,0.90833,7.30125
13.9474,6.81677,0.88977,7.403
13.9668,6.89339,0.90234,7.48141
13.9885,6.84489,0.85027,7.34315
14.0081,6.65038,0.74252,7.1965
14.0277,6.62584,0.82751,7.23062
14.047,6.75214,1.02623,7.26054
14.0678,6.87723,1.13995,7.0708
14.0875,6.90057,1.29379,6.91638
14.1086,6.82455,1.27344,7.10014
14.1289,6.73117,1.15912,7.35393
14.1493,6.79402,1.13876,7.58197
14.177,6.92093,1.17169,7.54605
14.1902,6.92091,1.02803,7.55084
